564	600	648	588	588	156
564	600	648	588	588	156
564	600	648	588	588	153
564	600	648	588	588	150
564	600	651	588	588	156
564	597	648	588	588	150
564	597	648	588	585	150
564	597	648	588	585	150
564	600	651	588	588	153
564	600	648	588	588	153
564	600	651	588	588	150
564	597	648	588	588	153
564	600	648	588	585	150
564	600	651	588	585	153
564	600	648	588	588	153
564	600	651	588	588	153
564	600	648	588	588	156
564	600	648	588	588	159
564	600	648	588	588	156
564	600	651	588	588	156
564	600	651	588	588	153
564	600	648	588	588	153
564	600	648	588	588	156
564	600	648	588	588	153
564	600	651	588	588	150
564	600	648	588	588	153
564	600	651	591	588	153
564	600	651	588	588	156
567	600	648	588	588	156
564	600	648	588	588	159
567	600	648	588	588	156
564	597	648	588	588	156
564	600	648	588	588	156
564	600	648	588	588	153
564	600	648	588	588	153
564	600	648	588	588	156
564	597	648	588	588	150
564	600	651	588	588	153
564	600	651	588	588	153
564	600	648	588	588	153
564	600	651	588	588	147
564	597	648	588	585	141
564	600	648	588	588	147
564	597	648	588	588	144
561	597	648	588	585	141
564	597	648	588	585	144
561	597	648	588	585	141
561	597	648	588	585	138
561	597	648	588	585	141
564	600	648	588	588	144
561	597	648	588	585	141
564	597	651	588	585	141
564	597	648	588	585	144
564	597	648	588	585	144
564	597	648	588	585	141
564	600	651	588	588	147
564	600	648	588	588	147
564	600	651	588	585	141
564	597	651	588	588	144
564	597	648	588	585	141
564	600	651	588	585	144
564	597	648	588	588	144
564	597	648	588	588	144
564	597	648	588	588	141
564	597	648	588	585	141
564	597	648	588	585	141
564	597	648	588	585	138
564	597	648	588	585	138
564	597	648	588	588	138
564	597	651	588	585	135
564	597	651	588	585	135
564	597	651	588	585	135
564	597	648	588	585	138
561	597	651	588	585	135
564	597	648	588	585	135
564	597	648	588	585	138
564	597	651	588	585	138
561	597	648	588	585	132
561	597	648	588	585	135
561	597	648	588	585	132
564	597	648	588	585	135
561	597	648	588	585	132
564	597	651	588	588	141
564	600	651	588	588	141
564	597	651	588	585	141
564	597	651	588	588	141
564	600	648	588	588	141
564	600	651	588	588	144
567	600	651	588	588	147
564	600	651	591	588	147
564	600	648	588	588	144
564	600	651	588	588	150
564	600	651	588	588	150
564	600	648	588	588	147
564	600	648	588	588	147
567	600	648	588	588	150
564	600	648	588	588	147
567	600	651	588	588	150
564	600	648	588	588	153
567	603	651	588	591	156
564	600	648	588	591	153
567	600	648	588	591	153
